Reference ID,Voting Date,Topic Number,Topic Title,Meaning of Yes,Meaning of No,Voting Subject,Proposal Title,Council Decision,Number of Yes,Number of No,Number of Abstentions,Number of excused,Number of non-participation,Percent_Yes
28858,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK | * | *,"Antrag der Minderheit II Brizzi 
 | * | *",Art. 2 Abs. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,133,62,0,3,1,0.6820512820512821
28859,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK | * | *,Antrag der Minderheit III Riem | * | *,Art. 2 Abs. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,131,65,0,3,0,0.6683673469387755
28860,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Zustimmung zu Art. 2 Abs. 1 nach der Regel über die Ausgabenbremse | * | *,Ablehnung des Art. 2 Abs. 1 | * | *,Art. 2 Abs. 1 - Ausgabenbremse | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,131,65,1,3,0,0.6649746192893401
28861,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit I Prelicz-Huber | * | *,Antrag der Minderheit II  Brizzi | * | *,Art. 3 Abs. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,-1,62,134,0,3,0,0.3163265306122449
28862,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit (gemäss BR) | * | *,Antrag der Minderheit II Brizzi | * | *,Art. 3 Abs. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,134,62,0,3,0,0.6836734693877551
28863,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit (gemäss BR) | * | *,Antrag der Minderheit IV Balmer | * | *,Art. 3 Abs. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,105,91,0,3,0,0.5357142857142857
28864,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit (gemäss BR) | * | *,Antrag der Minderheit V Riem | * | *,Art. 3 Abs. 1 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,104,92,0,3,0,0.5306122448979592
28865,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Zustimmung zu Art. 3 Abs. 1 nach der Regel über die Ausgabenbremse | * | *,Ablehnung des Artikels | * | *,Artz. 3 Abs. 1 - Ausgabenbremse | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,106,88,3,3,0,0.5380710659898477
28866,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Minderheit I Prelicz-Huber | * | *,Antrag der Minderheit II Brizzi | * | *,Art. 4 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,-1,62,134,0,3,0,0.3163265306122449
28867,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit (gemäss BR)  | * | *,Antrag der Minderheit II Brizzi | * | *,Art. 4 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,134,62,0,3,0,0.6836734693877551
